'Erdos708H97.Audit.card_lemma1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma5' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma6' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma7' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma8' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_lemma9' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.Audit.card_hinge97' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos708H97.g_le_12n' depends on axioms: [propext, Classical.choice, Quot.sound]
